Hostname,Target,Sample Date YMD,Sample Time HHMM,Count in seconds,Incoming traffic in bps (avg day),Outgoing traffic in bps (avg day),Peak inbound traffic in bps,Peak outbound traffic in bps
sites,GigabitEthernet1/0,1/12/2021,1:00,1610409600,8167561.4,2883851.2,57519589.9,66618114.3
sites,GigabitEthernet1/0,1/13/2021,1:00,1610496000,12589375.4,6768890.4,83807083.9,99271943.6
sites,GigabitEthernet1/0,1/14/2021,1:00,1610582400,7089149.9,968670.5,106394999.8,9883918.2
sites,GigabitEthernet1/0,1/15/2021,1:00,1610668800,8912577.8,1797193.9,95174114.9,28216699.8
sites,GigabitEthernet1/0,1/16/2021,1:00,1610755200,8388737.1,1228102.4,59928802.6,6979097.3
sites,GigabitEthernet1/0,1/17/2021,1:00,1610841600,381948.3,2465369.7,5944305,66062161.9
sites,GigabitEthernet1/0,1/18/2021,1:00,1610928000,232977.6,74027,7577871,4034793.2
sites,GigabitEthernet1/0,1/19/2021,1:00,1611014400,7580608.6,21573331.4,87452004.9,67293450.9
sites,GigabitEthernet1/0,1/20/2021,1:00,1611100800,8402809.8,4159507.3,105117204.6,24472590.5
sites,GigabitEthernet1/0,1/21/2021,1:00,1611187200,10197644.9,1105511.6,81310731.6,9912624.6
sites,GigabitEthernet1/0,1/22/2021,1:00,1611273600,9017208.1,2072065.6,74278753.1,11198247.6
sites,GigabitEthernet1/0,1/23/2021,1:00,1611360000,35673878.6,1702601.9,109728405.3,7332113
sites,GigabitEthernet1/0,1/24/2021,1:00,1611446400,2674177.2,1730585.6,8295338.5,62433069.5
sites,GigabitEthernet1/0,1/25/2021,1:00,1611532800,2518622.2,181111.3,3192700.2,1353348.3
sites,GigabitEthernet1/0,1/26/2021,1:00,1611619200,10244566.1,938313.8,78157626.5,7617280.2
sites,GigabitEthernet1/0,1/27/2021,1:00,1611705600,5297851.3,858144.8,45719414.3,9284217.4
sites,GigabitEthernet1/0,1/28/2021,1:00,1611792000,4829766.8,1417812.3,45224017,12096509.1
sites,GigabitEthernet1/0,1/29/2021,1:00,1611878400,5752974.1,1609559.8,61792629.9,20196738.7
